Fecha,Prediccion_NN
2012-08-21,897.06805
2012-08-22,903.89026
2012-08-23,910.7126
2012-08-24,917.53467
2012-08-25,924.3569
2012-08-26,931.1791
2012-08-27,938.0013
2012-08-28,944.8235
2012-08-29,951.6456
2012-08-30,958.46783
2012-08-31,965.29
2012-09-01,765.43
2012-09-02,772.16046
2012-09-03,778.97314
2012-09-04,785.78577
2012-09-05,792.5988
2012-09-06,799.4125
2012-09-07,806.23096
2012-09-08,813.0553
2012-09-09,819.8797
2012-09-10,826.70416
2012-09-11,833.5285
2012-09-12,840.353
2012-09-13,847.1774
2012-09-14,854.0018
2012-09-15,860.826
2012-09-16,867.6505
2012-09-17,874.47504
2012-09-18,881.2996
2012-09-19,888.1241
2012-09-20,894.94824
2012-09-21,901.77057
2012-09-22,908.5927
2012-09-23,915.415
2012-09-24,922.2372
2012-09-25,929.0593
2012-09-26,935.88153
2012-09-27,942.70374
2012-09-28,949.52594
2012-09-29,956.34814
2012-09-30,963.17035
2012-10-01,770.044
2012-10-02,776.8566
2012-10-03,783.66925
2012-10-04,790.482
2012-10-05,797.2957
2012-10-06,804.1109
2012-10-07,810.9349
2012-10-08,817.7593
2012-10-09,824.5837
2012-10-10,831.40814
2012-10-11,838.2326
2012-10-12,845.05707
2012-10-13,851.8813
2012-10-14,858.7055
2012-10-15,865.5299
2012-10-16,872.35443
2012-10-17,879.179
2012-10-18,886.0035
2012-10-19,892.8277
2012-10-20,899.6508
2012-10-21,906.4731
2012-10-22,913.2952
2012-10-23,920.1175
2012-10-24,926.93964
2012-10-25,933.7619
2012-10-26,940.584
2012-10-27,947.4062
2012-10-28,954.22833
2012-10-29,961.0505
2012-10-30,967.87274
2012-10-31,974.6948
2012-11-01,774.7401
2012-11-02,781.5528
2012-11-03,788.3654
2012-11-04,795.1788
2012-11-05,801.9925
2012-11-06,808.8145
2012-11-07,815.63885
2012-11-08,822.4633
2012-11-09,829.28766
2012-11-10,836.112
2012-11-11,842.9365
2012-11-12,849.7608
2012-11-13,856.585
2012-11-14,863.40924
2012-11-15,870.2338
2012-11-16,877.05835
2012-11-17,883.883
2012-11-18,890.70734
2012-11-19,897.53094
2012-11-20,904.35333
2012-11-21,911.17554
2012-11-22,917.9977
2012-11-23,924.81995
2012-11-24,931.64215
2012-11-25,938.4643
2012-11-26,945.2865
2012-11-27,952.10876
2012-11-28,958.9309
2012-11-29,965.75305
2012-11-30,972.57526
2012-12-01,779.4363
2012-12-02,786.24896
2012-12-03,793.062
2012-12-04,799.8758
2012-12-05,806.6943
2012-12-06,813.5184
2012-12-07,820.34283
2012-12-08,827.1672
2012-12-09,833.99164
2012-12-10,840.8161
2012-12-11,847.64044
2012-12-12,854.46454
2012-12-13,861.2888
2012-12-14,868.1132
2012-12-15,874.9377
2012-12-16,881.76227
2012-12-17,888.58673
2012-12-18,895.4108
2012-12-19,902.23346
2012-12-20,909.0557
2012-12-21,915.878
2012-12-22,922.7002
2012-12-23,929.5224
2012-12-24,936.3446
2012-12-25,943.1667
2012-12-26,949.98895
2012-12-27,956.8112
2012-12-28,963.63336
2012-12-29,970.45557
2012-12-30,977.27765
2012-12-31,984.0999
2013-01-01,732.7917
2013-01-02,738.298
2013-01-03,744.03265
2013-01-04,750.06757
2013-01-05,756.2347
2013-01-06,762.53534
2013-01-07,769.0102
2013-01-08,775.8228
2013-01-09,782.6355
2013-01-10,789.44867
2013-01-11,796.2619
2013-01-12,803.0771
2013-01-13,809.9014
2013-01-14,816.72577
2013-01-15,823.5501
2013-01-16,830.3746
2013-01-17,837.19904
2013-01-18,844.0235
2013-01-19,850.848
2013-01-20,857.6728
2013-01-21,864.4976
2013-01-22,871.3223
2013-01-23,878.1468
2013-01-24,884.9711
2013-01-25,891.795
2013-01-26,898.61743
2013-01-27,905.43976
2013-01-28,912.262
2013-01-29,919.08417
2013-01-30,925.9063
2013-01-31,932.7286
2013-02-01,736.61414
2013-02-02,742.2729
2013-02-03,748.15106
2013-02-04,754.31854
2013-02-05,760.5527
2013-02-06,766.95013
2013-02-07,773.70636
2013-02-08,780.51904
2013-02-09,787.3319
2013-02-10,794.1452
2013-02-11,800.9587
2013-02-12,807.781
2013-02-13,814.6054
2013-02-14,821.42975
2013-02-15,828.2541
2013-02-16,835.07855
2013-02-17,841.90314
2013-02-18,848.72754
2013-02-19,855.5522
2013-02-20,862.377
2013-02-21,869.20166
2013-02-22,876.0263
2013-02-23,882.8505
2013-02-24,889.67487
2013-02-25,896.49774
2013-02-26,903.32
2013-02-27,910.1423
2013-02-28,916.96454
2013-03-01,740.5159
2013-03-02,746.3181
2013-03-03,752.40234
2013-03-04,758.57
2013-03-05,764.932
2013-03-06,771.5898
2013-03-07,778.40247
2013-03-08,785.2153
2013-03-09,792.0284
2013-03-10,798.84186
2013-03-11,805.6605
2013-03-12,812.48486
2013-03-13,819.3093
2013-03-14,826.1336
2013-03-15,832.95807
2013-03-16,839.78265
2013-03-17,846.60706
2013-03-18,853.4316
2013-03-19,860.25635
2013-03-20,867.0811
2013-03-21,873.90564
2013-03-22,880.7299
2013-03-23,887.5544
2013-03-24,894.3779
2013-03-25,901.2003
2013-03-26,908.02246
2013-03-27,914.84467
2013-03-28,921.6669
2013-03-29,928.4891
2013-03-30,935.3112
2013-03-31,942.1335
2013-04-01,744.55865
2013-04-02,750.48615
2013-04-03,756.6529
